confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.7,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.6666666666666666,0.5028582811355591
0.8,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.6,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.9,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.8,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.9,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.8,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.9,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.9,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.7,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,0.0,0.0,0.4236137568950653
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.8,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.6,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.7,Astro-QA_Judgement,0.0,0.0,0.7598841190338135
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.7,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.6,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.85,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.85,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.2,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,GlobalMedQA_EN,0.0,0.0,0.6287064552307129
0.95,GlobalMedQA_EN,0.0,0.0,0.5321115851402283
0.95,GlobalMedQA_EN,0.0,0.0,0.4753831923007965
0.9,GlobalMedQA_EN,0.0,0.0,0.5127967000007629
0.95,GlobalMedQA_EN,0.0,0.0,0.5915092825889587
0.95,GlobalMedQA_EN,0.0,0.0,0.4770360589027405
0.9,GlobalMedQA_EN,0.0,0.0,0.5629729628562927
0.95,GlobalMedQA_EN,0.0,0.0,0.504554808139801
0.95,GlobalMedQA_EN,0.0,0.0,0.5602620244026184
0.95,GlobalMedQA_EN,0.0,0.0,0.5653037428855896
0.95,GlobalMedQA_EN,0.0,0.0,0.5780671238899231
0.95,GlobalMedQA_EN,0.0,0.0,0.562044084072113
0.95,GlobalMedQA_EN,1.0,1.0,1.0
0.95,GlobalMedQA_EN,0.0,0.0,0.5331007838249207
0.95,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.8,GlobalMedQA_EN,0.0,0.5,0.6381967663764954
0.95,GlobalMedQA_EN,0.0,0.0,0.6582460999488831
0.95,GlobalMedQA_EN,0.0,0.0,0.48814472556114197
0.95,GlobalMedQA_EN,0.0,0.8,0.7512437105178833
0.95,GlobalMedQA_EN,0.0,0.0,0.5523145198822021
0.95,GlobalMedQA_EN,0.0,0.0,0.4989328384399414
0.85,GlobalMedQA_EN,0.0,0.0,0.41095125675201416
0.95,GlobalMedQA_EN,0.0,0.0,0.5172966122627258
0.9,GlobalMedQA_EN,0.0,0.0,0.49246710538864136
0.95,GlobalMedQA_EN,0.0,0.0,0.626008152961731
0.95,GlobalMedQA_EN,0.0,0.0,0.5387144684791565
0.8,GlobalMedQA_EN,0.0,0.0,0.5320516228675842
0.95,GlobalMedQA_EN,0.0,0.0,0.586153507232666
0.95,GlobalMedQA_EN,0.0,0.0,0.4366842806339264
0.95,GlobalMedQA_EN,0.0,0.0,0.674791693687439
0.95,GlobalMedQA_EN,0.0,0.0,0.5209869742393494
0.95,GlobalMedQA_EN,0.0,0.0,0.4673984944820404
0.8,GlobalMedQA_EN,0.0,0.0,0.4944712817668915
0.95,GlobalMedQA_EN,0.0,0.0,0.45492908358573914
0.95,GlobalMedQA_EN,0.0,0.0,0.5976073145866394
0.95,GlobalMedQA_EN,0.0,0.0,0.46700721979141235
0.9,GlobalMedQA_EN,0.0,0.0,0.6774874329566956
0.8,GlobalMedQA_EN,0.0,0.0,0.6018858551979065
0.95,GlobalMedQA_EN,0.0,0.0,0.4910581409931183
0.95,GlobalMedQA_EN,0.0,0.0,0.33757373690605164
0.95,GlobalMedQA_EN,0.0,0.0,0.6032970547676086
0.9,GlobalMedQA_EN,0.0,0.0,0.5009305477142334
0.9,GlobalMedQA_EN,0.0,0.0,0.6293593645095825
0.95,GlobalMedQA_EN,0.0,0.0,0.4942460358142853
0.9,GlobalMedQA_EN,0.0,0.0,0.542482316493988
0.95,GlobalMedQA_EN,0.0,0.0,0.5318417549133301
0.95,GlobalMedQA_EN,0.0,0.0,0.4995605945587158
0.95,GlobalMedQA_EN,0.0,0.0,0.47562265396118164
0.95,GlobalMedQA_EN,0.0,0.0,0.5678849220275879
0.9,GlobalMedQA_EN,0.0,0.0,0.4657331109046936
