confidence,source,em,f1,bert
0.7,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.4,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.6,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,0.0,0.0,0.3015570640563965
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.85,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.4,Astro-QA_Judgement,0.0,0.0,0.7598846554756165
0.8,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.85,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.9,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.7,Astro-QA_Judgement,0.0,0.03636363636363636,0.3124285638332367
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.2,Astro-QA_Judgement,0.0,0.0,0.4371200203895569
0.75,Astro-QA_Judgement,0.0,0.0,0.26162782311439514
0.8,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.3,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.75,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.85,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.7,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,0.0,0.0,0.7059104442596436
0.3,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.4,Astro-QA_Judgement,0.0,0.0,0.7598846554756165
0.7,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.8,Astro-QA_Judgement,0.0,0.0,0.3855018615722656
0.9,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.15,Astro-QA_Judgement,0.0,0.0,0.7598846554756165
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.3,Astro-QA_Judgement,0.0,0.0,0.3015299141407013
0.8,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.88,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.92,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.05,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.8,Astro-QA_Judgement,0.0,0.0,0.4259037971496582
0.7,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.8,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.8,Astro-QA_Judgement,0.0,0.0,0.403775691986084
0.8,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.2,Astro-QA_Judgement,0.0,0.0,0.7059104442596436
0.8,Astro-QA_Judgement,0.0,0.0,0.4371200203895569
0.95,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.8,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.3,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.99,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.8,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.95,Astro-QA_Judgement,0.0,0.0,0.4371200203895569
0.7,Astro-QA_Judgement,0.0,0.0,0.7059104442596436
0.7,Astro-QA_Judgement,0.0,0.0,0.4380413889884949
0.7,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.6,Astro-QA_Judgement,0.0,0.0,0.25073984265327454
0.988,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.05,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.7,Astro-QA_Judgement,0.0,0.0,0.7059104442596436
0.2,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.8,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.7,Astro-QA_Judgement,0.0,0.0,0.344965398311615
0.7,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.7,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.8,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.7,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.5,Astro-QA_Judgement,0.0,0.0,0.7598846554756165
0.999,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.85,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.8,Astro-QA_Judgement,0.0,0.0,0.7059104442596436
0.8,Astro-QA_Judgement,0.0,0.0,0.7059103846549988
0.7,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.85,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.418,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.4,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
