confidence,source,em,f1,bert
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.4,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.38595524430274963
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.15,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.5,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.4,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.95,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.4,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,0.0,0.0,0.3144465982913971
0.1,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.9,Astro-QA_Judgement,0.0,0.0,0.2773421108722687
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.4,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,0.8906392455101013
0.4,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
