question,gold,pred,confidence,source,raw_response
The important feature of chaotic systems is that very small changes in initial conditions can lead to large differences in final states. ,True,true,0.96,Astro-QA_Judgement,"true
0.96"
The core of M87 contains a massive black hole. ,True,true,0.97,Astro-QA_Judgement,"true
0.97"
"Liu Yong's ""Where to Wake from the Wine Tonight, on the Willow Bank in the Morning Breeze and the Fading Moon"" describes the phase of the moon known as the waning crescent. ",True,true,0.7,Astro-QA_Judgement,"true
0.7"
"The apparent brightness of all stars when placed at the same standard distance is referred to as ""true brightness"". ",True,false,0.92,Astro-QA_Judgement,"false
0.92"
"The reason why humans speculate the existence of ""dark energy"" is that the accelerating expansion of the universe contradicts the mutual attraction of gravity, and current knowledge cannot explain the energy that drives this expansion. ",True,true,0.9,Astro-QA_Judgement,"true
0.9"
The volume differences between stars are much greater than their mass differences. ,True,true,0.78,Astro-QA_Judgement,"true
0.78"
"On the moon, artificial satellite phenomena can be observed. ",True,false,0.78,Astro-QA_Judgement,"false
0.78"
Galileo was the first person to use a telescope to observe celestial bodies and achieve significant results. ,True,false,0.78,Astro-QA_Judgement,"false
0.78"
The phenomenon of the seasons is due to the Earth's revolution combined with the tilt of its axis of rotation. ,True,true,0.95,Astro-QA_Judgement,"true
0.95"
Analyzing the composition of organic compounds in meteorites can reveal the presence of prebiotic materials in the universe. ,True,true,0.92,Astro-QA_Judgement,"true
0.92"
"An astronomer passed away in a car accident, and his ashes were sent to the moon. ",True,true,0.85,Astro-QA_Judgement,"true
0.85"
The Voyager spacecraft carried a golden record inscribed with a variety of sounds from nature and human societies on Earth. ,True,true,0.97,Astro-QA_Judgement,"true
0.97"
The two discoverers of the 3K cosmic background radiation were originally satellite communication engineers. ,True,false,0.92,Astro-QA_Judgement,"false
0.92"
Cygnus A (A Cyg) is an explosive galaxy. ,False,false,0.85,Astro-QA_Judgement,"false
0.85"
Black holes formed from the collapse of stars are smaller in volume than neutron stars and rotate faster than 5000 rotations per second. ,False,N/A,,Astro-QA_Judgement,
"The relationship within a scattered star cluster is relatively loose, without a regular shape. ",True,true,0.85,Astro-QA_Judgement,"true
0.85"
The formation of Uranus's peculiar seasons is due to its unique rotational characteristics. ,True,true,0.92,Astro-QA_Judgement,"true
0.92"
"Venus rotates ""backwards"" (clockwise). ",True,true,0.96,Astro-QA_Judgement,"true
0.96"
The Bullet Cluster (1E0657-56) holds significant value in astronomy as it is the first celestial system where the existence of dark matter was directly confirmed. ,True,true,0.86,Astro-QA_Judgement,"true
0.86"
The constellation of the Turtle still exists. ,False,false,0.85,Astro-QA_Judgement,"false
0.85"
"According to ancient Chinese records, the characteristics of supernova explosions include their sudden appearance, exceptional brightness, and long duration. ",True,true,0.86,Astro-QA_Judgement,"true
0.86"
"According to calculations by solar physicists, the lifespan of the Sun should be about 5 billion years. ",False,false,0.86,Astro-QA_Judgement,"false
0.86"
"To date, only the United States has achieved close-range exploration around Mars. ",False,false,0.92,Astro-QA_Judgement,"false
0.92"
It is estimated that there should be 1 million stellar black holes in the Milky Way. ,True,false,0.75,Astro-QA_Judgement,"false
0.75"
"The formation of a black hole must involve a spatial boundary where photons cannot escape, known as the event horizon. ",True,true,0.96,Astro-QA_Judgement,"true
0.96"
The reason why Type Ia supernovae are used as standard cosmic candles is that their brightness is constant when they explode. ,True,false,0.85,Astro-QA_Judgement,"false
0.85"
The advent of artificial satellites has provided excellent opportunities for the study of cosmic rays. ,True,true,0.92,Astro-QA_Judgement,"true
0.92"
Aurora is a phenomenon caused by the activity of solar wind particles. ,True,true,0.95,Astro-QA_Judgement,"true
0.95"
The acceleration due to gravity is the same at different locations on Earth. ,False,false,0.96,Astro-QA_Judgement,"false
0.96"
"In determining the direction of the night sky's diurnal motion, the left-handed spiral system is only effective for the starry sky observed in the Southern Hemisphere. ",False,false,0.75,Astro-QA_Judgement,"false
0.75"
The Galileo probe only reached the surface of Jupiter. ,True,false,0.96,Astro-QA_Judgement,"false
0.96"
The sun is currently a main sequence star on the Hertzsprung-Russell diagram. ,True,true,0.97,Astro-QA_Judgement,"true
0.97"
"The spectral characteristics of blackbody radiation are only related to the material of the blackbody, and are not related to temperature. ",False,false,0.96,Astro-QA_Judgement,"false
0.96"
NASA astronauts play golf on the moon. ,True,true,0.95,Astro-QA_Judgement,"true
0.95"
The history of human civilization is 6 orders of magnitude shorter than the history of the Earth. ,True,false,0.78,Astro-QA_Judgement,"false
0.78"
The light emitted by a nebula is a type of electromagnetic radiation. ,False,true,0.95,Astro-QA_Judgement,"true
0.95"
Europa may be tidally locked. ,False,true,0.95,Astro-QA_Judgement,"true
0.95"
Galactic black holes are the products of stars that have evolved to the end of their lives. ,False,false,0.73,Astro-QA_Judgement,"false
0.73"
"In 1801, Ceres was once classified as one of the eight major planets in the solar system. ",True,true,0.78,Astro-QA_Judgement,"true
0.78"
New stars are a class of variable stars. ,True,true,0.78,Astro-QA_Judgement,"true
0.78"
The horizon refers to the physical boundary of a black hole. ,False,true,0.85,Astro-QA_Judgement,"true
0.85"
"In bright nebulae, the red ones are emission nebulae and the blue ones are reflection nebulae. ",True,true,0.85,Astro-QA_Judgement,"true
0.85"
The Gnomon was an ancient astronomical instrument used to observe the trajectory of the moon. ,False,false,0.92,Astro-QA_Judgement,"false
0.92"
The habitable zones of planetary systems around stars of different spectral types are all located at the same distance. ,False,false,0.96,Astro-QA_Judgement,"false
0.96"
There are asteroids named Tom Hanks and Meryl. ,True,true,0.78,Astro-QA_Judgement,"true
0.78"
The formulas for calculating the redshift Z in both classical mechanics and special relativity are approximately interchangeable when dealing with celestial bodies whose recessional velocities are much less than the speed of light (v << c). ,True,true,0.93,Astro-QA_Judgement,"true
0.93"
The constellation of the Toad still exists today. ,False,false,0.92,Astro-QA_Judgement,"false
0.92"
The annual motion of the stars is caused by the Earth's revolution around the Sun. ,True,true,0.9,Astro-QA_Judgement,"true
0.9"
The asteroid belt is located between Mars and Jupiter. ,True,true,0.97,Astro-QA_Judgement,"true
0.97"
Aurora can be observed on the moon. ,False,false,0.85,Astro-QA_Judgement,"false
0.85"
The transit method generally tends to discover larger exoplanets more easily. ,True,true,0.92,Astro-QA_Judgement,"true
0.92"
"The earliest physical evidence of dragon totem was unearthed from an ancient tomb in Puyang, Henan in 1987. ",True,false,0.85,Astro-QA_Judgement,"false
0.85"
"The Milky Way is capable of rotation, and different parts rotate at varying speeds. ",True,true,0.95,Astro-QA_Judgement,"true
0.95"
The Bullet Cluster (1E0657-56) holds significant value in the field of astronomy as it is the first celestial system where the existence of dark matter was directly confirmed. ,True,true,0.85,Astro-QA_Judgement,"true
0.85"
The duration of an annular eclipse cannot exceed 11 minutes. ,False,false,0.92,Astro-QA_Judgement,"false
0.92"
The value of Hubble's constant varies in different historical periods. ,True,true,0.71,Astro-QA_Judgement,"true
0.71"
