confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.75,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.75,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
1.0,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
1.0,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.75,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.75,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.75,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
