confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.4371200203895569
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.4284273684024811
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.6,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.4284273684024811
0.85,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,0.0,0.0,0.43804147839546204
0.85,Astro-QA_Judgement,1.0,1.0,0.9506592154502869
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.4284273684024811
0.85,Astro-QA_Judgement,0.0,0.0,0.4284273684024811
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.75,Astro-QA_Judgement,0.0,0.0,0.43804147839546204
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.4284273684024811
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,0.0,0.0,0.43804147839546204
0.85,Astro-QA_Judgement,1.0,1.0,0.9506592154502869
0.95,Astro-QA_Judgement,0.0,0.0,0.4284273684024811
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.43804147839546204
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.4284273684024811
