confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.8,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.8,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.9,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.2,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.1,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.2,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.9,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.7059106230735779
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.8,Astro-QA_Judgement,0.0,0.0,0.759884238243103
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,1.0,1.0,0.9506592750549316
0.95,Astro-QA_Judgement,0.0,0.0,0.759884238243103
