confidence,source,em,f1,bert
0.98,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.99,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
1.0,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.99,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.85,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
1.0,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.7,Astro-QA_Judgement,1.0,1.0,0.890639066696167
1.0,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
1.0,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.99,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
1.0,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.98,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.9,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.98,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.99,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
