confidence,source,em,f1,bert
0.7,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
1.0,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.6,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.9,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.65,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.8,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.6,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.6,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.6,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.2,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.6,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.2,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.3,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.6,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,1.0000001192092896
0.95,Astro-QA_Judgement,0.0,0.0,0.28436174988746643
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,0.9506592154502869
0.99,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.99,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.7,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.65,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.4,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.4,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.7,Astro-QA_Judgement,0.0,0.0,0.7932291626930237
0.2,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
0.1,Astro-QA_Judgement,0.0,0.0,0.7598845958709717
0.7,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.65,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.7,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.2,Astro-QA_Judgement,1.0,1.0,0.8906390070915222
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.1,Astro-QA_Judgement,1.0,1.0,0.9506590366363525
