confidence,source,em,f1,bert
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.998,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.87,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.0,Astro-QA_Judgement,0.0,0.0,0.7932290434837341
0.8,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.98,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.0,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.995,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.99,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.98,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.7,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.2,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.98,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.87,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.98,Astro-QA_Judgement,0.0,0.0,0.423613578081131
0.7,Astro-QA_Judgement,0.0,0.0,0.49802693724632263
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.99,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.999,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.6,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
1.0,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
1.0,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.7,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.87,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.98,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,0.0,0.0,0.4265778660774231
0.95,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.7,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.2,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.7,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.96,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.72,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.65,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.25,Astro-QA_Judgement,0.0,0.0,0.7932289838790894
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.0,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.6,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.999,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.0,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.99,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.7,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.8,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.83,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.98,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.65,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.1,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.3,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.62,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.45,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
0.95,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.7,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.8,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.4,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.8,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.98,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.98,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.85,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.99,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.0,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.9,Astro-QA_Judgement,1.0,1.0,0.890639066696167
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105634689331
