confidence,source,em,f1,bert
0.05,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.95,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.85,Astro-QA_Judgement,1.0,1.0,0.9506584405899048
0.45,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.55,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.7,GlobalMedQA_EN,1.0,1.0,1.0
0.7,GlobalMedQA_EN,1.0,1.0,1.0
0.6,GlobalMedQA_EN,0.0,0.5,0.9284529685974121
0.7,GlobalMedQA_EN,0.0,0.0,0.6286569237709045
0.6,TORQUE,0.0,0.0,0.5577772855758667
0.55,TORQUE,0.0,0.0,0.7220516800880432
0.95,TORQUE,0.0,0.0,0.3920603394508362
0.95,TORQUE,0.0,0.16666666666666666,0.6943398714065552
0.85,HotpotQA,0.0,0.0,0.5639980435371399
0.95,HotpotQA,0.0,0.0,0.4005492627620697
0.94,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.95,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.05,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.92,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.4,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.85,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.95,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.95,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.85,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.15,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.55,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.95,Astro-QA_Judgement,0.0,0.0,0.7598842978477478
0.9,Astro-QA_Judgement,1.0,1.0,0.9506584405899048
0.4,Astro-QA_Judgement,0.0,0.0,0.7059110403060913
0.55,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
0.9,Astro-QA_Judgement,1.0,1.0,0.8906393647193909
