confidence,source,em,f1,bert
0.42,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.3,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.53,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.5,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.7,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.2492019236087799
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,GlobalMedQA_EN,0.0,0.0,0.6004687547683716
0.4,GlobalMedQA_EN,1.0,1.0,1.0
0.4,GlobalMedQA_EN,0.0,0.0,0.7365299463272095
0.7,GlobalMedQA_EN,1.0,1.0,1.0
0.6,GlobalMedQA_EN,1.0,1.0,1.0
0.5,GlobalMedQA_EN,0.0,0.3333333333333333,0.7628908753395081
0.6,TORQUE,0.0,0.25,0.42789772152900696
0.95,TORQUE,0.0,0.0,0.4168972969055176
0.6,TORQUE,0.0,0.0,0.6279464364051819
0.95,TORQUE,1.0,1.0,1.0
0.9,TORQUE,1.0,1.0,0.9999998211860657
0.7,TORQUE,0.0,0.0,0.6774295568466187
0.95,HotpotQA,0.0,0.0,0.4906734824180603
0.999,HotpotQA,0.0,0.0,0.5506402850151062
0.95,HotpotQA,1.0,1.0,0.9999999403953552
0.7,HotpotQA,0.0,0.0,0.6689950227737427
0.55,HotpotQA,0.0,0.0,0.5352709889411926
0.95,HotpotQA,0.0,0.4,0.6863245368003845
0.95,HotpotQA,0.0,0.22222222222222224,0.5805633068084717
0.2,HotpotQA,0.0,0.0,0.519507646560669
0.05,HotpotQA,0.0,0.0,0.46975716948509216
0.55,HotpotQA,0.0,0.0,0.6495691537857056
0.95,HotpotQA,0.0,0.0,0.44331780076026917
0.75,HotpotQA,0.0,0.0,0.6912208795547485
0.95,HotpotQA,0.0,0.9090909090909091,0.9293921589851379
0.9,HotpotQA,0.0,0.0,0.8189436197280884
0.7,HotpotQA,0.0,0.0,0.5319626927375793
0.75,HotpotQA,0.0,0.0,0.4657324254512787
0.8,HotpotQA,0.0,0.0,0.49465784430503845
0.85,HotpotQA,0.0,0.0,0.6498053073883057
0.95,HotpotQA,1.0,1.0,1.0000001192092896
0.87,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.4,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.2827320396900177
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.15,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.6,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.55,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.35,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.7,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.05,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.05,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.4,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.95,Astro-QA_Judgement,0.0,0.0,0.343751460313797
0.75,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.9,Astro-QA_Judgement,0.0,0.0,0.24281343817710876
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.7,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.15,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
1.0,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.1,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.92,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,0.0,0.0,0.2532818615436554
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.45,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.75,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.4,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.3,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.2687903642654419
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.52,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.85,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.88,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.6,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.05,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.5,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.6,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.6,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.4,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.05,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.2875847816467285
0.85,Astro-QA_Judgement,0.0,0.0,0.2847481966018677
0.12,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.7,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.98,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.3,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.45,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.4,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,1.0
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.05,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.99,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.98,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.15,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.45,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.3,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.9,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.25,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.9,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.25,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.05,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.0,Astro-QA_Judgement,0.0,0.0,0.27376589179039
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.3,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.6,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.2638572156429291
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.15,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.85,Astro-QA_Judgement,0.0,0.0,0.26217588782310486
0.55,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.15,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.4,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.3,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.85,Astro-QA_Judgement,0.0,0.0,0.27037304639816284
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.25,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.15,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.9,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.45,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.45,Astro-QA_Judgement,0.0,0.0,0.7932289242744446
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.72,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.53,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.55,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.2710009813308716
0.4,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.1,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.25,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.45,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.45,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.42,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.72,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.15,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.92,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.0,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.27133047580718994
0.15,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.05,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.5,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
