question,gold,pred,confidence,source,raw_response
The important feature of chaotic systems is that very small changes in initial conditions can lead to large differences in final states. ,True,true,0.99,Astro-QA_Judgement,"true
0.99"
The core of M87 contains a massive black hole. ,True,true,0.99,Astro-QA_Judgement,"true
0.99"
"Liu Yong's ""Where to Wake from the Wine Tonight, on the Willow Bank in the Morning Breeze and the Fading Moon"" describes the phase of the moon known as the waning crescent. ",True,false,0.65,Astro-QA_Judgement,"false
0.65"
"The apparent brightness of all stars when placed at the same standard distance is referred to as ""true brightness"". ",True,false,0.97,Astro-QA_Judgement,"false
0.97"
"The reason why humans speculate the existence of ""dark energy"" is that the accelerating expansion of the universe contradicts the mutual attraction of gravity, and current knowledge cannot explain the energy that drives this expansion. ",True,true,0.97,Astro-QA_Judgement,"true
0.97"
The volume differences between stars are much greater than their mass differences. ,True,true,0.9,Astro-QA_Judgement,"true
0.9"
"On the moon, artificial satellite phenomena can be observed. ",True,false,0.85,Astro-QA_Judgement,"false
0.85"
Galileo was the first person to use a telescope to observe celestial bodies and achieve significant results. ,True,false,0.9,Astro-QA_Judgement,"false
0.9"
The phenomenon of the seasons is due to the Earth's revolution combined with the tilt of its axis of rotation. ,True,true,0.99,Astro-QA_Judgement,"true
0.99"
Analyzing the composition of organic compounds in meteorites can reveal the presence of prebiotic materials in the universe. ,True,true,0.97,Astro-QA_Judgement,"true
0.97"
"An astronomer passed away in a car accident, and his ashes were sent to the moon. ",True,N/A,,Astro-QA_Judgement,
The Voyager spacecraft carried a golden record inscribed with a variety of sounds from nature and human societies on Earth. ,True,true,0.99,Astro-QA_Judgement,"true
0.99"
The two discoverers of the 3K cosmic background radiation were originally satellite communication engineers. ,True,false,0.96,Astro-QA_Judgement,"false
0.96"
Cygnus A (A Cyg) is an explosive galaxy. ,False,false,0.95,Astro-QA_Judgement,"false
0.95"
Black holes formed from the collapse of stars are smaller in volume than neutron stars and rotate faster than 5000 rotations per second. ,False,N/A,,Astro-QA_Judgement,
"The relationship within a scattered star cluster is relatively loose, without a regular shape. ",True,true,0.9,Astro-QA_Judgement,"true
0.9"
The formation of Uranus's peculiar seasons is due to its unique rotational characteristics. ,True,true,0.97,Astro-QA_Judgement,"true
0.97"
