confidence,source,em,f1,bert
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.78,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.32,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.5,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.78,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.3,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.32,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.35,GlobalMedQA_EN,0.0,0.07407407407407407,0.4820583164691925
0.85,GlobalMedQA_EN,0.0,0.0,0.6654200553894043
0.75,GlobalMedQA_EN,0.0,0.0,0.7682597041130066
0.7,GlobalMedQA_EN,0.0,0.3333333333333333,0.8610334396362305
0.85,GlobalMedQA_EN,0.0,0.0,0.7044097185134888
0.35,GlobalMedQA_EN,0.0,0.0,0.4368365705013275
0.3,TORQUE,0.0,0.0,0.37172579765319824
0.55,TORQUE,0.0,0.0,0.5004016160964966
0.85,TORQUE,0.0,0.0,0.533600926399231
0.85,TORQUE,0.0,0.5,0.3681105971336365
0.85,TORQUE,0.0,0.3333333333333333,0.5492361783981323
0.95,HotpotQA,1.0,1.0,1.0
0.85,HotpotQA,0.0,0.3333333333333333,0.8129717707633972
0.7,HotpotQA,0.0,0.0,0.5506402850151062
0.15,HotpotQA,0.0,0.0,0.3507918119430542
0.75,HotpotQA,0.0,0.0,0.39756453037261963
0.58,HotpotQA,0.0,0.0,0.3685905635356903
0.85,HotpotQA,0.0,0.0,0.5814713835716248
0.15,HotpotQA,0.0,0.0,0.5737224221229553
0.7,HotpotQA,1.0,1.0,1.0
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.35,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.15,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.42,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.78,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.32,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.6,Astro-QA_Judgement,1.0,1.0,0.9506591558456421
0.95,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.58,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.85,GlobalMedQA_EN,1.0,1.0,1.0
0.85,GlobalMedQA_EN,1.0,1.0,1.0
0.7,GlobalMedQA_EN,0.0,0.0,0.7725903391838074
0.85,GlobalMedQA_EN,1.0,1.0,0.9999999403953552
0.6,GlobalMedQA_EN,1.0,1.0,1.0
0.5,TORQUE,0.0,0.0,0.33806145191192627
0.5,TORQUE,0.0,0.0,0.5812764763832092
0.85,TORQUE,0.0,0.4444444444444445,0.6679801344871521
0.85,TORQUE,0.0,0.0,0.4664474427700043
0.95,TORQUE,1.0,1.0,1.0000001192092896
0.42,HotpotQA,0.0,0.0,0.6284275054931641
0.45,HotpotQA,1.0,1.0,1.0
0.85,HotpotQA,0.0,0.0,0.5677618384361267
0.9,HotpotQA,1.0,1.0,0.951420247554779
0.85,HotpotQA,0.0,0.0,0.5029174089431763
0.45,HotpotQA,1.0,1.0,0.9999998807907104
0.3,HotpotQA,1.0,1.0,1.0000001192092896
0.42,HotpotQA,0.0,0.0,0.4863199293613434
0.95,HotpotQA,0.0,0.0,0.6455163359642029
0.85,HotpotQA,0.0,0.8,0.8785586357116699
0.65,HotpotQA,0.0,0.0,0.5029768943786621
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.15,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.95,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.5,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.45,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.45,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.15,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.7,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.7,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.75,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.55,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.58,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.85,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.7,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.95,Astro-QA_Judgement,0.0,0.0,0.7059105038642883
0.45,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.6,Astro-QA_Judgement,1.0,1.0,0.8906388878822327
0.32,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.55,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.6,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
0.78,Astro-QA_Judgement,0.0,0.0,0.7598844766616821
0.85,Astro-QA_Judgement,1.0,1.0,0.9506590962409973
0.55,Astro-QA_Judgement,1.0,1.0,0.8906389474868774
